date,bitcoin,ethereum,cardano,doge,bcash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
10/14/2020,11429.50684,379.484039,0.107297,0.002637,259.133484,0.074283,10.949109,30.912119,49.846489,128.701736,0.215288,1.001007,461.299988,88.599998,563.809998,53.549999,84.209999,129.880005
10/15/2020,11495.34961,377.441833,0.106635,0.002593,261.384735,0.074041,10.737752,31.295864,49.490372,129.831619,0.213231,1.000796,448.880005,88.150002,558.799988,53.849998,83.129997,128.580002
10/16/2020,11322.12305,366.229004,0.104064,0.002612,250.325409,0.078702,10.61955,29.9949,47.692875,120.188896,0.207143,1.001047,439.670013,86.699997,552.460022,54.16,83.169998,129.029999
10/19/2020,11742.03711,379.935608,0.108677,0.00259,250.709793,0.085249,10.886283,29.925068,48.098915,125.404175,0.214289,1.000853,430.829987,87.559998,539.909973,54.580002,82,128.419998
10/20/2020,11916.33496,369.136902,0.102494,0.002601,242.845551,0.080906,9.878593,28.803444,47.051029,117.945435,0.208688,1.000985,421.940002,88.260002,545.820007,53.43,81.559998,128.300003
10/21/2020,12823.68945,392.189972,0.106187,0.00263,258.514587,0.08378,10.804607,29.772354,53.04533,121.752708,0.214873,1.001834,422.640015,87.639999,540.98999,53.5,79.199997,128.550003
10/22/2020,12965.8916,413.77298,0.110572,0.002655,266.472626,0.08528,11.939335,30.658192,54.267277,127.067749,0.221413,1.001091,425.790009,88.209999,534.440002,53.900002,79.419998,128.380005
10/23/2020,12931.53906,409.766693,0.108083,0.002647,270.314667,0.083795,12.163795,30.633961,55.238689,127.296021,0.219898,1.000657,420.630005,88.309998,543.609985,48.200001,81.959999,128.880005
10/26/2020,13075.24805,393.888306,0.103097,0.002679,259.782593,0.080907,11.747902,31.15456,56.745777,132.02179,0.213198,1.000958,420.279999,86.730003,525.650024,46.720001,82.230003,126.199997
10/27/2020,13654.21875,403.99704,0.102827,0.002677,264.539429,0.081809,11.973837,31.638721,57.816051,133.728088,0.213753,1.000223,424.679993,86.709999,535.869995,45.639999,78.879997,125.910004
10/28/2020,13271.28516,388.650757,0.098977,0.002595,268.489716,0.078592,11.461742,30.363506,55.742512,126.350365,0.195085,1.00034,406.019989,83.849998,505.079987,44.25,76.400002,121.580002
10/29/2020,13437.88281,386.730103,0.095376,0.002581,267.056061,0.077453,11.265141,29.842478,54.765854,124.282707,0.189249,1.000349,410.829987,84.889999,520.960022,44.110001,78.019997,126.440002
10/30/2020,13546.52246,382.819977,0.093369,0.002598,261.828125,0.076763,11.098557,28.508411,53.835033,122.950859,0.188236,1.000904,388.040009,83.870003,501.359985,44.279999,75.290001,123.360001
11/2/2020,13550.48926,383.156738,0.092143,0.002517,257.199707,0.07566,10.797579,27.88393,53.817482,118.734421,0.182118,1.000523,400.51001,85.709999,503.230011,44.459999,74.699997,123.970001
11/3/2020,13950.30078,387.602173,0.093434,0.002528,244.146835,0.075311,10.387002,26.85705,53.819622,120.733299,0.180109,1.000552,423.899994,87.690002,520.780029,44.849998,76.580002,125.449997
11/4/2020,14133.70703,402.141998,0.095369,0.002533,241.130096,0.074593,10.472587,26.931515,54.499104,115.955841,0.184854,1.001079,420.980011,89.449997,551.77002,45.700001,81.349998,128.970001
11/5/2020,15579.84863,414.067352,0.096994,0.002617,249.547318,0.080175,10.990669,27.675859,58.678497,119.812462,0.191308,1.00042,438.089996,90.43,566.400024,45.68,83,145.410004
