Date,tesla,tsmc,nvidia,intel,amd,qualcom
12/12/2016,38.486,29.9,89.589996,35.970001,10.68,68.470001
13/12/2016,39.630001,30.360001,91.169998,36.799999,10.54,69.339996
14/12/2016,39.737999,29.870001,96.449997,36.549999,10.55,67.559998
15/12/2016,39.515999,30.16,98.709999,36.790001,10.86,68.029999
16/12/2016,40.498001,29.48,100.410004,36.310001,10.66,66.459999
19/12/2016,40.546001,29.27,101.629997,36.889999,10.95,67.019997
20/12/2016,41.757999,29.309999,105.169998,37.209999,11.51,66.910004
21/12/2016,41.540001,29.139999,105.830002,36.98,11.47,67.160004
22/12/2016,41.689999,28.74,107.110001,36.93,11.6,66.760002
23/12/2016,42.667999,29.049999,109.779999,36.970001,11.58,66.860001
27/12/2016,43.905998,29.1,117.32,37.07,12.07,67.25
28/12/2016,43.948002,29.120001,109.25,36.630001,11.55,65.75
29/12/2016,42.936001,29.129999,111.43,36.66,11.59,66.040001
30/12/2016,42.737999,28.75,106.739998,36.27,11.34,65.199997
3/1/2017,43.397999,29.309999,102.010002,36.599998,11.43,65.400002
4/1/2017,45.397999,29.299999,104.389999,36.41,11.43,65.470001
5/1/2017,45.349998,29.799999,101.739998,36.349998,11.24,65.550003
6/1/2017,45.801998,29.629999,103.099998,36.48,11.32,65.529999
9/1/2017,46.256001,30.040001,107.279999,36.610001,11.49,65.650002
10/1/2017,45.973999,30.07,106.470001,36.540001,11.44,65.629997
11/1/2017,45.945999,30.17,105.160004,36.950001,11.2,66.099998
12/1/2017,45.917999,29.290001,103.440002,36.709999,10.76,66.120003
13/1/2017,47.549999,29.440001,103.43,36.790001,10.58,66.879997
17/1/2017,47.116001,29.620001,101.110001,36.799999,9.82,64.190002
18/1/2017,47.672001,29.49,102.949997,36.759998,9.88,65.129997
19/1/2017,48.751999,29.629999,105.160004,36.57,9.77,64.440002
20/1/2017,48.945999,30.07,104.010002,36.939999,9.75,62.880001
23/1/2017,49.784,30.33,105.089996,36.77,9.91,54.880001
24/1/2017,50.922001,30.82,107.330002,37.619999,10.44,55
25/1/2017,50.894001,31.309999,107.790001,37.799999,10.35,56.900002
26/1/2017,50.501999,31.110001,109.650002,37.560001,10.52,54.049999
27/1/2017,50.59,31.25,111.769997,37.98,10.67,54.240002
30/1/2017,50.125999,31.190001,110.019997,37.419998,10.61,53.610001
31/1/2017,50.386002,30.91,109.18,36.82,10.37,53.43
