Date,TWH
2016-11-04,5.01042
2016-11-05,5.00161
2016-11-06,4.93034
2016-11-07,4.92824
2016-11-08,5.05532
2016-11-09,5.12751
2016-11-10,5.19516
2016-11-11,5.43105
2016-11-12,5.53721
2016-11-13,5.48253
2016-11-14,5.61177
2016-11-15,5.54715
2016-11-16,5.66644
2016-11-17,5.62171
2016-11-18,5.60127
2016-11-19,5.54738
2016-11-20,5.54571
2016-11-21,5.45544
2016-11-22,5.41719
2016-11-23,5.37589
2016-11-24,5.47676
2016-11-25,5.52318
2016-11-26,5.58369
2016-11-27,5.67171
2016-11-28,5.80924
2016-11-29,5.89175
2016-11-30,5.86425
2016-12-01,5.77623
2016-12-02,5.73942
2016-12-03,5.86061
2016-12-04,5.89696
2016-12-05,5.84568
2016-12-06,5.86572
2016-12-07,6.05862
2016-12-08,6.13435
2016-12-09,6.09072
2016-12-10,5.8668
2016-12-11,6.08513
2016-12-12,6.10752
2016-12-13,6.26427
2016-12-14,6.06833
2016-12-15,5.95609
2016-12-16,6.00562
2016-12-17,6.13854
2016-12-18,5.94541
2016-12-19,5.98636
2016-12-20,5.82544
2016-12-21,6.01
2016-12-22,6.20603
2016-12-23,6.32107
2016-12-24,6.27869
2016-12-25,6.424
2016-12-26,6.36951
2016-12-27,6.47849
2016-12-28,6.51568
2016-12-29,6.48325
2016-12-30,6.53661
2016-12-31,6.62498
2017-01-01,6.59344
2017-01-02,6.71975
2017-01-03,6.79231
2017-01-04,6.7413
2017-01-05,6.67928
2017-01-06,6.70409
2017-01-07,6.64207
2017-01-08,6.71029
2017-01-09,6.56765
2017-01-10,6.55035
2017-01-11,6.60773
2017-01-12,6.87069
2017-01-13,6.85873
2017-01-14,7.13409
2017-01-15,7.19672
2017-01-16,7.46476
2017-01-17,7.50411
2017-01-18,7.48438
2017-01-19,7.49754
2017-01-20,7.75403
2017-01-21,7.81322
2017-01-22,7.87349
2017-01-23,7.82064
2017-01-24,7.92452
2017-01-25,8.08101
2017-01-26,8.12569
2017-01-27,8.18679
2017-01-28,8.16242
2017-01-29,8.28492
2017-01-30,8.33095
2017-01-31,8.30027
2017-02-01,8.63013
2017-02-02,8.3814
2017-02-03,7.9697
2017-02-04,7.66969
2017-02-05,7.41167
2017-02-06,7.11131
2017-02-07,6.97058
2017-02-08,6.43713
2017-02-09,6.58424
2017-02-10,6.6377
2017-02-11,6.66607
2017-02-12,6.54381
2017-02-13,6.78832
2017-02-14,6.90414
2017-02-15,6.8591
2017-02-16,6.74328
2017-02-17,6.76902
2017-02-18,6.87232
2017-02-19,6.87172
2017-02-20,6.81718
2017-02-21,6.65686
2017-02-22,6.68956
2017-02-23,6.72567
2017-02-24,6.84912
2017-02-25,6.97334
2017-02-26,7.26894
2017-02-27,7.24206
2017-02-28,7.34284
2017-03-01,7.38314
2017-03-02,7.43017
2017-03-03,7.36204
2017-03-04,7.16713
2017-03-05,7.00365
2017-03-06,7.03348
2017-03-07,7.08009
2017-03-08,7.10992
2017-03-09,7.09455
2017-03-10,7.16318
2017-03-11,7.28256
2017-03-12,7.33874
2017-03-13,7.35981
2017-03-14,7.38088
2017-03-15,7.38088
2017-03-16,7.41599
2017-03-17,7.42449
2017-03-18,7.51641
2017-03-19,7.62419
2017-03-20,7.59195
2017-03-21,7.52596
2017-03-22,7.68154
2017-03-23,7.68012
2017-03-24,7.85214
2017-03-25,7.67813
2017-03-26,7.68539
2017-03-27,7.65638
2017-03-28,7.75064
2017-03-29,7.59838
2017-03-30,7.42101
2017-03-31,6.90671
2017-04-01,6.68726
2017-04-02,6.33955
2017-04-03,6.33585
2017-04-04,5.88914
2017-04-05,5.7661
2017-04-06,5.66668
2017-04-07,6.02665
2017-04-08,6.23043
2017-04-09,6.47554
2017-04-10,6.54006
2017-04-11,7.01932
2017-04-12,7.12505
2017-04-13,7.24162
2017-04-14,7.12315
2017-04-15,7.25718
2017-04-16,7.21
2017-04-17,7.18818
2017-04-18,7.08561
2017-04-19,7.13449
2017-04-20,7.2177
2017-04-21,7.4198
2017-04-22,7.38371
2017-04-23,7.43423
2017-04-24,7.33318
2017-04-25,7.34762
2017-04-26,7.4198
2017-04-27,7.48694
2017-04-28,7.26538
2017-04-29,7.47027
2017-04-30,7.45828
2017-05-01,7.64836
2017-05-02,7.72309
2017-05-03,7.57365
2017-05-04,7.72576
2017-05-05,7.67512
2017-05-06,7.63895
2017-05-07,7.75469
2017-05-08,7.97171
2017-05-09,7.95001
2017-05-10,8.13631
2017-05-11,7.96868
2017-05-12,8.23062
2017-05-13,8.24148
2017-05-14,8.30614
2017-05-15,8.32332
2017-05-16,8.22645
2017-05-17,8.28814
2017-05-18,8.68326
2017-05-19,9.15447
2017-05-20,9.60479
2017-05-21,9.82566
2017-05-22,9.98981
2017-05-23,10.7494
2017-05-24,11.2116
2017-05-25,11.5313
2017-05-26,11.5194
2017-05-27,11.6595
2017-05-28,11.95
2017-05-29,12.0993
2017-05-30,12.2508
2017-05-31,12.359
2017-06-01,12.4346
2017-06-02,12.359
2017-06-03,12.6185
2017-06-04,12.6774
2017-06-05,13.0645
2017-06-06,12.9887
2017-06-07,13.2475
2017-06-08,13.4415
2017-06-09,13.7225
2017-06-10,13.383
2017-06-11,13.338
2017-06-12,13.1286
2017-06-13,13.0055
2017-06-14,12.6976
2017-06-15,12.5498
2017-06-16,12.5128
2017-06-17,12.5675
2017-06-18,12.6418
2017-06-19,12.7813
2017-06-20,12.8269
2017-06-21,12.9105
2017-06-22,12.8212
2017-06-23,13.0646
2017-06-24,13.1588
2017-06-25,12.8618
2017-06-26,12.7456
2017-06-27,12.6552
2017-06-28,12.8747
2017-06-29,12.6293
2017-06-30,12.5519
2017-07-01,12.7842
2017-07-02,13.4756
2017-07-03,13.6917
2017-07-04,13.8449
2017-07-05,13.6141
2017-07-06,13.7767
2017-07-07,13.5725
2017-07-08,13.4444
2017-07-09,12.8415
2017-07-10,13.1671
2017-07-11,13.4082
2017-07-12,13.7458
2017-07-13,13.9267
2017-07-14,13.9519
2017-07-15,13.7009
2017-07-16,14.2682
2017-07-17,13.4502
2017-07-18,13.1005
2017-07-19,12.5342
2017-07-20,12.3458
2017-07-21,12.1566
2017-07-22,12.1018
