date,bitcoin,doge,stellar,little,monero,tether,tesla,tsmc,nvidia,intel,amd,qualcom
3/1/2016,435.122986,0.000249,0.001909,3.43297,0.847996,0.999991,37.27,24.58,32.75,30.370001,2.18,52.110001
3/2/2016,423.989014,0.000244,0.001884,3.36502,0.827633,0.999962,37.667999,24.620001,32.939999,30.540001,2.32,52.849998
3/3/2016,421.651001,0.000245,0.00189,3.32353,1.09001,0.999999,39.147999,24.559999,32.650002,30.58,2.46,52.380001
3/4/2016,410.938995,0.000238,0.001914,3.25023,1.09933,1,40.208,24.65,32.549999,30.629999,2.37,52.66
3/7/2016,414.321014,0.000233,0.002392,3.26775,1.07121,0.999998,41.057999,24.700001,32.34,30.940001,2.47,53.299999
3/8/2016,413.971985,0.00022,0.002216,3.25422,1.18654,1,40.52,24.65,31.75,30.559999,2.3,52.459999
3/9/2016,414.859985,0.00023,0.002229,3.27985,1.2424,0.999895,41.743999,24.74,31.73,30.870001,2.26,51.950001
3/10/2016,417.131012,0.000241,0.002368,3.28755,1.09481,0.999994,41.035999,24.74,31.68,31.25,2.26,52.02
3/11/2016,421.690002,0.000241,0.002567,3.3847,1.09733,0.999995,41.5,25.35,32.220001,31.76,2.52,52.220001
3/14/2016,416.437988,0.000238,0.002138,3.30352,1.11622,0.999994,43.029999,25.219999,32.299999,31.43,2.72,52.09
3/15/2016,416.829987,0.000231,0.002193,3.30578,1.14372,1,43.667999,24.879999,32.139999,31.65,2.49,51.630001
3/16/2016,417.010986,0.000231,0.002136,3.30939,1.14711,1,44.386002,25.780001,33.099998,31.690001,2.63,51.299999
3/17/2016,420.621002,0.000223,0.002147,3.30739,1.30117,0.999983,45.276001,25.77,32.82,31.98,2.8,51.380001
3/18/2016,409.548004,0.000209,0.00198,3.16981,1.14677,0.999998,46.548,26.040001,33.810001,32.68,2.93,51.59
3/21/2016,413.307007,0.000212,0.002074,3.20091,1.49133,0.999999,47.664001,25.93,33.91,32.34,2.8,52.209999
3/22/2016,418.088989,0.000217,0.002079,3.23472,1.38773,0.999999,46.848,25.809999,33.849998,32.32,2.79,52.02
3/23/2016,418.040985,0.000212,0.002174,3.2428,1.45487,0.999999,44.515999,25.68,34.43,32,2.68,50.990002
3/24/2016,416.394012,0.000213,0.00208,3.2247,1.70171,0.999972,45.549999,25.73,34.48,31.879999,2.79,50.860001
3/28/2016,424.230988,0.000215,0.002113,3.26406,1.48948,1,46.051998,25.629999,34.830002,31.9,2.78,50.189999
3/29/2016,416.515991,0.000254,0.002087,3.22633,1.49121,1,46.026001,25.969999,35.389999,32.380001,2.86,50.689999
3/30/2016,414.81601,0.000234,0.002039,3.21941,1.44575,1,45.377998,26.459999,35.759998,32.709999,2.86,50.990002
3/31/2016,416.729004,0.000233,0.002027,3.25707,1.40065,1,45.953999,26.200001,35.630001,32.349998,2.85,51.139999
4/1/2016,417.959991,0.000224,0.002047,3.23995,1.46143,1,47.518002,26.120001,36.150002,32.450001,2.83,50.880001
4/4/2016,421.444,0.00022,0.002294,3.25059,1.59652,1,49.397999,25.85,35.799999,32,2.83,50.650002
4/5/2016,424.029999,0.000214,0.00216,3.25165,1.52128,1,51.094002,25.51,35.75,31.9,2.76,50.07
4/6/2016,423.412994,0.000216,0.002163,3.25593,1.512,1.00002,53.084,25.620001,35.799999,32.080002,2.8,50.619999
4/7/2016,422.744995,0.000212,0.002155,3.24532,1.50027,1.00002,51.439999,25.370001,35.43,31.549999,2.64,50.029999
4/8/2016,420.348999,0.000211,0.002184,3.22027,1.23797,1,50.014,25.280001,35.66,31.629999,2.74,50.560001
4/11/2016,422.483002,0.000214,0.001903,3.24177,1.02242,0.999861,49.984001,25.51,35.880001,31.67,2.76,51
4/12/2016,425.190002,0.000229,0.001871,3.25732,0.955986,1,49.563999,25.57,35.84,31.860001,2.81,50.82
4/13/2016,423.734009,0.000234,0.001863,3.23886,1.03028,1,50.905998,26.17,36.740002,32.130001,2.8,51.919998
4/14/2016,424.282013,0.00023,0.001877,3.23961,1.00645,1,50.372002,25.299999,36.84,31.799999,2.72,51.82
4/15/2016,429.713013,0.000233,0.001879,3.27883,0.990145,1,50.902,25.459999,37.130001,31.459999,2.7,51.060001
4/18/2016,428.591003,0.000225,0.001903,3.24039,1.11417,1,50.776001,25.5,36.970001,31.65,2.76,51.549999
4/19/2016,435.509003,0.000222,0.001929,3.28517,1.11118,1,49.473999,25.16,36.310001,31.6,2.62,51.830002
4/20/2016,441.389008,0.000226,0.001928,3.27838,1.06227,1,49.993999,25.120001,36.450001,32,2.7,52.09
