Date,bitcoin,ethereum,cardano,doge,bitcoin.cash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
2/12/2018,8926.570313,868.70697,0.384315,0.005472,1283.910034,0.395649,0.490282,9.32247,161.565994,247.567993,0.380451,1.00009,63.146,42.529999,228.029999,44.830002,11.68,65.660004
2/13/2018,8598.30957,845.257996,0.373314,0.005638,1231.97998,0.410614,0.570759,8.98678,159.554001,234.688995,0.347663,1.0011,64.732002,42.380001,232.630005,44.459999,11.78,65.699997
2/14/2018,9494.629883,923.560974,0.396908,0.00673,1362.27002,0.453888,0.568253,10.4006,213.358994,276.661987,0.395896,1.00077,64.461998,43.049999,241.419998,45.380001,12.2,66.589996
2/15/2018,10166.40039,936.976013,0.409368,0.007347,1375.810059,0.453556,0.565251,10.9311,225.425995,303.251007,0.414574,1.00541,66.814003,43.52,246.5,45.919998,12.19,65.279999
2/16/2018,10233.90039,944.210022,0.40381,0.007034,1552.199951,0.455446,0.639628,11.2016,230.123993,296.47699,0.435563,1.0021,67.098,43.48,243.839996,45.560001,11.82,64.849998
2/20/2018,11403.7002,895.370972,0.378779,0.007094,1418.72998,0.402289,0.699926,9.90451,232.850998,304.395996,0.391724,1.00061,66.954002,43.740002,249.080002,46.32,12.02,63.990002
2/21/2018,10690.40039,849.971008,0.364441,0.006581,1308.459961,0.396765,0.653669,9.38079,213.352005,322.606995,0.363677,1.00097,66.660004,42.889999,241.509995,45.939999,11.72,63.400002
2/22/2018,10005,812.844971,0.337871,0.006259,1219.48999,0.366447,0.601923,8.90403,195.307999,282.76001,0.341856,1.00409,69.234001,42.389999,242.149994,45.799999,11.84,62.18
2/23/2018,10301.09961,864.189026,0.345258,0.006648,1270.709961,0.381985,0.674791,9.69211,209.309006,285.708008,0.359387,1.00157,70.410004,43.900002,245.929993,47.73,12.07,63.32
2/26/2018,10366.7002,869.315002,0.338335,0.006339,1250.560059,0.364579,0.691446,9.90232,220.962006,293.608002,0.365594,0.999561,71.484001,44.41,246.580002,49.110001,12.42,66.980003
2/27/2018,10725.59961,878.265015,0.335536,0.006291,1246.660034,0.362051,0.723957,10.6599,216.598999,302.540985,0.365449,1.00052,70.197998,43.619999,246.059998,49.91,12.53,66.339996
2/28/2018,10397.90039,855.198975,0.312581,0.006018,1204.160034,0.333916,0.661447,10.4382,202.895004,285.696991,0.340086,0.998903,68.612,43.349998,242,49.290001,12.11,65
3/1/2018,10951,872.200012,0.304397,0.006215,1291.920044,0.339314,0.663065,10.5097,209.75,314.035004,0.374938,1.00042,66.185997,42.720001,232.210007,47.84,11.9,64.959999
3/2/2018,11086.40039,856.853027,0.293504,0.005482,1275.180054,0.320107,0.652742,10.2248,212.556,344.729004,0.405679,0.99973,67.024002,43.009998,236.539993,48.98,11.81,64.739998
3/5/2018,11573.29981,853.684021,0.297622,0.005218,1268.030029,0.352031,0.586738,10.1105,211.175003,373.247009,0.375513,0.998864,66.669998,43.490002,235.649994,49.75,11.91,64.010002
3/6/2018,10779.90039,816.950989,0.285357,0.00461,1206.040039,0.337911,0.53387,9.38438,196.600998,346.39801,0.338273,1.0005,65.639999,43.540001,242.160004,50.709999,11.76,62.139999
3/7/2018,9965.570313,752.830994,0.247281,0.004024,1092.160034,0.329103,0.521148,9.03488,185.839005,339.14801,0.299935,1.00248,66.459999,44.200001,241.839996,51.32,12.24,62.490002
3/8/2018,9395.009766,704.596008,0.221743,0.004025,1040.209961,0.311938,0.486422,8.31044,176.511002,278.636993,0.271218,1.00591,65.82,43.799999,241.179993,50.740002,11.97,61.82
3/9/2018,9337.549805,728.916016,0.222207,0.004146,1067.02002,0.311859,0.480877,8.31307,187.167999,288.089996,0.259717,1.00166,65.433998,44.59,245.330002,52.189999,11.7,63.029999
3/12/2018,9205.120117,699.830994,0.223722,0.004032,1051.280029,0.291765,0.510198,8.03927,178.233994,259.421997,0.261717,1.00235,69.101997,45.220001,249.759995,51.52,11.52,62.810001
3/13/2018,9194.849609,690.827026,0.223026,0.00396,1064.030029,0.290193,0.563841,10.1152,175.781998,248.067993,0.246668,0.999843,68.367996,44.990002,247.710007,51.779999,11.64,59.700001
3/14/2018,8269.80957,614.291016,0.199562,0.003524,949.46698,0.248689,0.443609,8.95921,161.100998,215.559998,0.22115,1.00275,65.325996,45.150002,248.740005,51.860001,11.36,60.119999
3/15/2018,8300.860352,611.304016,0.185709,0.003536,943.635986,0.240655,0.419737,9.09908,164.475998,213.311005,0.195941,1.00128,65.120003,45.310001,249.339996,50.880001,11.46,59.889999
3/16/2018,8338.349609,601.666016,0.178878,0.00351,977.034973,0.229991,0.42442,9.11132,165.449997,215.703003,0.197728,0.998551,64.269997,44.970001,250.479996,51.169998,11.47,60.619999
3/19/2018,8630.650391,556.726013,0.197648,0.00344,994.674988,0.250226,0.381644,8.99274,161.141998,216.772995,0.204119,0.989867,62.712002,44.599998,241,50.830002,11.43,58.369999
3/20/2018,8913.469727,557.174988,0.204947,0.003651,1059.119995,0.267968,0.391713,9.16093,168.817001,223.737,0.211607,0.996832,62.110001,44.830002,249.580002,51.549999,11.11,58.259998
3/21/2018,8929.280273,561.731995,0.213189,0.003659,1033.449951,0.254636,0.445421,9.982,169.052002,218.632996,0.208152,0.999244,63.306,44.700001,248.559998,51.560001,11.26,56.810001
3/22/2018,8728.469727,539.702026,0.203481,0.003528,1011.52002,0.243212,0.419292,10.0663,163.671997,212.710007,0.207624,0.998982,61.82,43.689999,241.850006,50.830002,10.91,55.580002
3/23/2018,8879.620117,539.619019,0.189259,0.00356,1019.429993,0.236147,0.40914,11.7376,167.832001,213.914993,0.211858,0.990235,60.307999,42.580002,232.970001,49.360001,10.63,53.66
3/26/2018,8209.400391,489.950989,0.167806,0.003289,919.247986,0.228861,0.371496,12.0614,149.220993,197.175003,0.216878,1.00341,60.835999,44.27,244.479996,52.48,10.44,56.130001
3/27/2018,7833.040039,450.115997,0.154926,0.003145,876.328003,0.216033,0.342625,11.5083,135.779007,187.929993,0.226107,1.00161,55.835999,43.290001,225.520004,51.189999,10,54.84
3/28/2018,7954.47998,446.278992,0.160058,0.003141,860.52002,0.219251,0.351367,11.6404,131.746994,199.158997,0.223775,0.999204,51.556,42.689999,221.350006,49.599998,9.81,54.700001
3/29/2018,7165.700195,385.967987,0.146882,0.002827,714.268005,0.190819,0.280161,10.1961,114.679001,176.862,0.188864,0.998623,53.226002,43.759998,231.589996,52.080002,10.05,55.41
4/2/2018,7083.799805,386.424988,0.156385,0.002797,662.77301,0.224878,0.273684,12.6207,119.306,177.507004,0.199357,1.00013,50.495998,42.5,221.050003,48.919998,9.53,53.810001
