Date,bitcoin,ethereum,cardano,doge,bitcoin-cash,stellar,chainlink,biance,little,monero,bat,tether
28/11/2015,357.381012,0.915703,0,0.00013,0,0.001741,0,0,3.52259,0.39204,0,1
29/11/2015,371.294006,0.878614,0,0.00013,0,0.00174,0,0,3.66973,0.401147,0,1
30/11/2015,377.321014,0.873119,0,0.000128,0,0.001732,0,0,3.62122,0.395225,0,1
1/12/2015,362.488007,0.8748,0,0.000127,0,0.001739,0,0,3.4349,0.376028,0,0.999993
2/12/2015,359.187012,0.82121,0,0.00013,0,0.001767,0,0,3.34225,0.368688,0,1
3/12/2015,361.04599,0.812143,0,0.000129,0,0.001712,0,0,3.37749,0.366891,0,1
4/12/2015,363.183014,0.840041,0,0.000129,0,0.00201,0,0,3.36181,0.370805,0,1
5/12/2015,388.949005,0.862438,0,0.00013,0,0.001864,0,0,3.52372,0.451304,0,1
6/12/2015,388.78299,0.8355,0,0.000128,0,0.00192,0,0,3.4731,0.439947,0,1
7/12/2015,395.536011,0.811264,0,0.000133,0,0.001965,0,0,3.64514,0.421295,0,1
8/12/2015,415.562988,0.822118,0,0.000136,0,0.002292,0,0,3.68692,0.42936,0,1.00016
9/12/2015,417.562988,0.792167,0,0.000142,0,0.002063,0,0,3.66903,0.452073,0,1.00008
10/12/2015,415.479004,0.840396,0,0.000139,0,0.002026,0,0,3.66394,0.431434,0,1
11/12/2015,451.937988,0.929762,0,0.00015,0,0.002135,0,0,3.83645,0.458294,0,1
12/12/2015,434.997009,0.976973,0,0.000142,0,0.001986,0,0,3.60633,0.455326,0,1
13/12/2015,433.755005,0.952884,0,0.000143,0,0.002066,0,0,3.62674,0.465171,0,1
14/12/2015,444.182007,0.993022,0,0.000145,0,0.002002,0,0,3.61457,0.534761,0,1
15/12/2015,465.321014,1.01415,0,0.00015,0,0.00187,0,0,3.83377,0.556358,0,1
16/12/2015,454.93399,0.991182,0,0.00015,0,0.001846,0,0,3.69892,0.518993,0,1
17/12/2015,456.078003,0.940701,0,0.000155,0,0.001857,0,0,3.74,0.501231,0,1
18/12/2015,463.615997,0.920127,0,0.000155,0,0.001849,0,0,3.75696,0.499438,0,1
19/12/2015,462.321991,0.908072,0,0.000153,0,0.001842,0,0,3.72062,0.471013,0,1
20/12/2015,442.684998,0.903885,0,0.000143,0,0.001746,0,0,3.53612,0.507456,0,1
21/12/2015,438.639008,0.900771,0,0.000143,0,0.00178,0,0,3.45869,0.488745,0,0.999864
22/12/2015,436.571991,0.864202,0,0.000142,0,0.001728,0,0,3.41953,0.480099,0,0.999801
23/12/2015,442.401001,0.858077,0,0.000147,0,0.001742,0,0,3.57807,0.482244,0,1
24/12/2015,454.984985,0.863262,0,0.000147,0,0.00177,0,0,3.644,0.490058,0,1
25/12/2015,455.653015,0.870363,0,0.000147,0,0.001828,0,0,3.62475,0.484163,0,1
26/12/2015,417.273987,0.854603,0,0.000139,0,0.00165,0,0,3.42442,0.446716,0,1
27/12/2015,422.822998,0.856365,0,0.000145,0,0.00172,0,0,3.47905,0.451554,0,1
28/12/2015,422.278992,0.845005,0,0.000139,0,0.001777,0,0,3.46603,0.446928,0,1
29/12/2015,432.983002,0.873054,0,0.000155,0,0.001743,0,0,3.50026,0.45616,0,1
30/12/2015,426.619995,0.911958,0,0.000153,0,0.001763,0,0,3.45914,0.441028,0,1
31/12/2015,430.566986,0.933542,0,0.000151,0,0.001751,0,0,3.48017,0.470402,0,1
1/1/2016,434.334015,0.948024,0,0.000154,0,0.001748,0,0,3.50898,0.497867,0,1
2/1/2016,433.437988,0.937124,0,0.000151,0,0.001741,0,0,3.50216,0.532668,0,1
3/1/2016,430.010986,0.971905,0,0.000146,0,0.001744,0,0,3.48307,0.500312,0,1
4/1/2016,433.091003,0.95448,0,0.000144,0,0.001748,0,0,3.49539,0.517388,0,1
5/1/2016,431.959991,0.950176,0,0.000137,0,0.001721,0,0,3.46967,0.499272,0,1.00025
6/1/2016,429.105011,0.95086,0,0.000135,0,0.001672,0,0,3.45356,0.505053,0,1
7/1/2016,458.048004,0.942005,0,0.000139,0,0.001728,0,0,3.60414,0.492529,0,1
8/1/2016,453.230011,0.986789,0,0.000158,0,0.001681,0,0,3.56888,0.488417,0,1
9/1/2016,447.610992,0.986833,0,0.00018,0,0.001749,0,0,3.56057,0.490135,0,1
10/1/2016,447.990997,0.999231,0,0.000167,0,0.001765,0,0,3.53672,0.488578,0,1
11/1/2016,448.428009,1.0616,0,0.000171,0,0.001739,0,0,3.55662,0.482049,0,1
12/1/2016,435.690002,1.141,0,0.00018,0,0.001743,0,0,3.49368,0.490113,0,1
