date,ethereum,stellar,chainlink,monero,tsmc,nvidia,amd
11/15/2018,180.806,0.241944,0.541633,88.672501,38.52,202.389999,21.49
11/16/2018,175.177002,0.23885,0.512894,87.055298,36.869999,164.429993,20.66
11/19/2018,149.175003,0.224412,0.41129,72.489998,36.049999,144.699997,19.110001
11/20/2018,130.339005,0.193193,0.341813,66.486,35.639999,149.080002,19.209999
11/21/2018,136.701004,0.203688,0.367507,68.942802,36.169998,144.710007,18.73
11/23/2018,123.295998,0.181211,0.329343,66.6269,35.959999,145,19.379999
11/26/2018,108.334999,0.144795,0.283866,53.216999,36.84,153.050003,20.08
11/27/2018,110.010002,0.144374,0.287584,57.131599,36.799999,153.729996,21.049999
11/28/2018,122.438004,0.162237,0.33146,63.524101,38.009998,160.070007,21.34
11/29/2018,117.542648,0.16508,0.344782,61.195538,37.93,157.360001,21.43
11/30/2018,113.171417,0.15863,0.322242,57.792904,37.59,163.429993,21.299999
12/3/2018,108.925018,0.149536,0.288482,54.837246,38.73,170.039993,23.709999
12/4/2018,110.214188,0.147653,0.287812,56.978962,37.439999,157.110001,21.120001
12/6/2018,91.761055,0.119594,0.222732,46.534531,36.860001,158.289993,21.299999
12/7/2018,93.294563,0.115263,0.216468,46.462021,36.52,147.610001,19.459999
12/10/2018,91.685654,0.118253,0.219072,44.604153,36.43,151.860001,19.99
12/11/2018,88.945305,0.112835,0.223391,42.736801,36.700001,148.190002,19.98
12/12/2018,90.5933,0.11369,0.226759,43.936119,37.380001,148.899994,20.48
12/13/2018,86.539314,0.1058,0.205696,40.962246,37.330002,148.889999,19.860001
12/14/2018,84.308296,0.09774,0.202932,39.282673,36.529999,146.449997,19.9
12/17/2018,95.133827,0.109693,0.233422,43.82275,36.220001,143.580002,18.83
12/18/2018,101.112457,0.11433,0.270225,46.582493,36.759998,146.940002,19.5
12/19/2018,101.268578,0.114245,0.296346,46.312855,36.23,138.509995,18.16
12/20/2018,116.216873,0.12655,0.338506,55.075401,35.880001,135.100006,17.940001
12/21/2018,109.496231,0.119916,0.298483,51.819595,35.709999,129.570007,16.93
12/24/2018,140.238007,0.13252,0.307952,56.335178,35.290001,127.080002,16.65
12/26/2018,131.865631,0.120607,0.307583,49.374691,36.759998,133.100006,17.9
12/27/2018,116.575912,0.110486,0.275171,44.466694,36.779999,131.169998,17.49
12/28/2018,137.647018,0.121383,0.298379,49.770248,37.139999,133.649994,17.82
12/31/2018,133.368256,0.112813,0.289444,46.228168,36.91,133.5,18.459999
1/2/2019,155.047684,0.119331,0.316489,52.252449,36.52,136.220001,18.83
1/3/2019,149.13501,0.113825,0.365974,49.815357,34.360001,127.989998,17.049999
1/4/2019,154.58194,0.115361,0.437175,50.630875,34.970001,136.190002,19
1/7/2019,151.699219,0.12322,0.376474,52.826897,35.23,143.399994,20.57
1/8/2019,150.359634,0.123119,0.424198,53.155445,34.939999,139.830002,20.75
1/9/2019,150.803116,0.123774,0.401805,52.713856,35.610001,142.580002,20.190001
1/10/2019,128.625183,0.109879,0.354604,45.496136,36.419998,145.229996,19.74
1/11/2019,127.548325,0.107332,0.444193,45.804752,36.610001,148.830002,20.27
1/14/2019,129.068726,0.109649,0.48566,45.914585,35.759998,150.440002,20.23
1/15/2019,122.032715,0.105685,0.518795,44.950611,36.040001,149.869995,20.379999
1/16/2019,123.547066,0.106891,0.497374,46.181438,35.639999,148.839996,19.73
1/17/2019,123.74192,0.108461,0.483012,45.653633,36.290001,151.720001,20.25
1/18/2019,121.010262,0.106821,0.500732,45.125832,36.84,156.929993,20.77
1/22/2019,118.747551,0.104103,0.540335,45.920597,36.369999,148.770004,19.76
1/23/2019,117.452606,0.102576,0.509976,44.880501,36.490002,149.289993,19.799999
1/24/2019,117.362885,0.10221,0.504242,45.783047,37.639999,157.839996,20.85
1/25/2019,116.378342,0.101741,0.479549,46.889336,38.139999,160.149994,21.93
1/28/2019,106.589973,0.087904,0.41349,43.589233,37.439999,138.009995,20.18
1/29/2019,105.598213,0.083923,0.455235,43.710106,36.330002,131.600006,19.25
1/30/2019,108.907539,0.085634,0.426929,44.264606,37.380001,137.389999,23.09
1/31/2019,107.061012,0.082631,0.38769,43.664097,37.619999,143.75,24.41
2/1/2019,107.609787,0.08358,0.419263,43.722866,37.57,144.729996,24.51
2/4/2019,107.821602,0.07973,0.394452,42.796654,37.939999,149.179993,24.129999
2/5/2019,107.44352,0.077882,0.421776,43.336124,38.25,149.949997,23.309999
2/6/2019,104.919289,0.074387,0.39962,43.143562,38.740002,153,23.26
2/7/2019,104.535301,0.074688,0.401474,43.212105,38.119999,147.419998,22.67
2/8/2019,119.267746,0.081224,0.436519,48.116745,37.790001,148.169998,23.049999
2/11/2019,121.298393,0.077595,0.429451,48.270901,38.290001,146.449997,22.959999
2/12/2019,122.572289,0.077616,0.425395,49.052044,38.639999,151.169998,22.82
2/13/2019,122.553604,0.07699,0.444044,49.330051,38.130001,152.880005,22.85
2/14/2019,121.390205,0.076635,0.428376,46.862133,38.060001,154.529999,23.129999
2/15/2019,122.100388,0.079276,0.432969,47.438251,38.09,157.339996,23.68
2/19/2019,145.346191,0.089982,0.458156,52.327351,38.459999,156.639999,23.950001
2/20/2019,149.554337,0.091735,0.46611,52.110649,39,158.550003,23.950001
2/21/2019,146.130844,0.089091,0.445463,50.436028,38.98,155.770004,23.92
2/22/2019,149.092453,0.090668,0.452029,52.642246,39.389999,159.190002,24.360001
2/25/2019,139.822861,0.087305,0.470638,50.078457,39.580002,158.690002,24.709999
2/26/2019,138.089676,0.0868,0.437432,49.405342,39.599998,157.100006,24.209999
2/27/2019,136.125961,0.086195,0.431479,49.988094,39.450001,155.410004,23.48
2/28/2019,136.746246,0.085503,0.427421,49.121269,39.049999,154.259995,23.530001
3/1/2019,136.443619,0.085833,0.431785,49.562172,39.389999,156.449997,23.68
3/4/2019,127.774124,0.083539,0.407811,48.493286,39.150002,156.779999,23.370001
3/5/2019,137.822388,0.086299,0.432997,50.548523,39.02,156.520004,23.5
3/6/2019,138.789352,0.085566,0.431821,50.848656,38.790001,152.050003,22.41
3/7/2019,138.0345,0.085541,0.455832,51.028378,38.630001,149.259995,22.08
3/8/2019,135.127075,0.087246,0.466202,50.01823,38.200001,150.639999,22.01
3/11/2019,133.83403,0.102263,0.46749,50.2356,38.639999,161.139999,22.959999
3/12/2019,134.442886,0.104598,0.488552,51.472065,38.900002,162.520004,23.49
