date,bitcoin,doge,little,tsmc,nvidia,intel,qualcom
3/16/2016,417.010986,0.000231,3.30939,25.780001,33.099998,31.690001,51.299999
3/17/2016,420.621002,0.000223,3.30739,25.77,32.82,31.98,51.380001
3/18/2016,409.548004,0.000209,3.16981,26.040001,33.810001,32.68,51.59
3/21/2016,413.307007,0.000212,3.20091,25.93,33.91,32.34,52.209999
3/22/2016,418.088989,0.000217,3.23472,25.809999,33.849998,32.32,52.02
3/23/2016,418.040985,0.000212,3.2428,25.68,34.43,32,50.990002
3/24/2016,416.394012,0.000213,3.2247,25.73,34.48,31.879999,50.860001
3/28/2016,424.230988,0.000215,3.26406,25.629999,34.830002,31.9,50.189999
3/29/2016,416.515991,0.000254,3.22633,25.969999,35.389999,32.380001,50.689999
3/30/2016,414.81601,0.000234,3.21941,26.459999,35.759998,32.709999,50.990002
3/31/2016,416.729004,0.000233,3.25707,26.200001,35.630001,32.349998,51.139999
4/1/2016,417.959991,0.000224,3.23995,26.120001,36.150002,32.450001,50.880001
4/4/2016,421.444,0.00022,3.25059,25.85,35.799999,32,50.650002
4/5/2016,424.029999,0.000214,3.25165,25.51,35.75,31.9,50.07
4/6/2016,423.412994,0.000216,3.25593,25.620001,35.799999,32.080002,50.619999
4/7/2016,422.744995,0.000212,3.24532,25.370001,35.43,31.549999,50.029999
4/8/2016,420.348999,0.000211,3.22027,25.280001,35.66,31.629999,50.560001
4/11/2016,422.483002,0.000214,3.24177,25.51,35.880001,31.67,51
4/12/2016,425.190002,0.000229,3.25732,25.57,35.84,31.860001,50.82
4/13/2016,423.734009,0.000234,3.23886,26.17,36.740002,32.130001,51.919998
4/14/2016,424.282013,0.00023,3.23961,25.299999,36.84,31.799999,51.82
4/15/2016,429.713013,0.000233,3.27883,25.459999,37.130001,31.459999,51.060001
4/18/2016,428.591003,0.000225,3.24039,25.5,36.970001,31.65,51.549999
4/19/2016,435.509003,0.000222,3.28517,25.16,36.310001,31.6,51.830002
4/20/2016,441.389008,0.000226,3.27838,25.120001,36.450001,32,52.09
4/21/2016,449.424988,0.000226,3.3464,25.16,36.41,31.969999,51.669998
4/22/2016,445.737,0.000224,3.31927,25.07,36.27,31.639999,52.639999
4/25/2016,461.425995,0.000227,3.81172,25.01,36.450001,31.389999,52.43
4/26/2016,466.088989,0.00023,4.0458,25.01,36.48,31.4,52.91
