bitcoin,ethereum,doge,monero,tesla,tsmc,nvidia
0.018646134,0.037610434,0.009345862,-0.133206562,0.010960548,-0.003894125,0.010099696
-0.018353235,-0.000788955,0.166696239,0.001160805,-0.000564673,0.013178486,0.015950124
-0.004089782,0.025118541,-0.082013152,-0.030959653,-0.014179114,0.018692134,0.010400628
0.004601068,-0.047053601,-0.004282662,-0.031691803,0.012613512,-0.009874672,-0.003641887
0.002949573,0.022552555,-0.039392402,0.042478994,0.033467754,-0.003058106,0.014488996
0.008301197,-0.044378889,-0.018018506,0.088410852,0.038801289,-0.010390742,-0.009729138
0.006117295,-0.066631419,-0.027651531,-0.048274175,0.033757195,-0.013240069,-0.001397596
-0.001456157,0.02341575,0.009302393,-0.006118808,0.038208452,0.004302803,0.001397596
-0.001578899,-0.059347409,-0.018692133,-0.007788186,-0.031459504,-0.009805922,-0.010388947
-0.005683832,-0.035387478,-0.004728141,-0.192172151,-0.028113094,-0.003553804,0.006470694
0.005063898,-0.117302292,0.014117882,-0.191300575,-0.000599992,0.009056923,0.006150453
0.006386919,-0.14965986,0.067745989,-0.067184377,-0.008438231,0.002349257,-0.001115477
-0.003430211,0.077797399,0.021599112,0.07484262,0.026716012,0.023193927,0.024801546
0.001292438,0.04173282,-0.017241806,-0.023401322,-0.010545251,-0.03380936,0.002718077
0.012719215,-0.017373838,0.012959145,-0.01633317,0.010466711,0.006304198,0.007841084
-0.002614483,0.091878933,-0.034938051,0.118013615,-0.002478394,0.001569898,-0.004318495
0.016012378,-0.036184689,-0.01342302,-0.002687219,-0.025976563,-0.01342302,-0.018013587
0.013411122,-0.028998573,0.017857617,-0.045014386,0.010455719,-0.00159105,0.003848273
0.01804237,-0.04390141,0,-0.083438298,-0.006743453,0.00159105,-0.001098024
-0.008239869,-0.03528626,-0.008888947,0.003265122,0.021752092,-0.00358352,-0.003852509
0.034592592,-0.034723434,0.013303966,-0.027995546,-0.007635023,-0.002396167,0.004950533
0.010054896,-0.021042312,0.013129291,-0.075203967,0.007595634,0,0.000822679
-0.047005889,0.047898548,-0.026433257,0.062716556,-0.008986462,0.009550411,0.022497249
0.009676664,-0.078720017,0.017699577,-0.03979998,-0.015064971,-0.044127783,-0.030202268
0.013463195,0.038933626,-0.00881063,-0.023607761,-0.02845812,-0.02387548,-0.018681765
-0.023180351,0.309581276,0.013187004,0.087401429,0.004310372,0.004230167,0.013141557
0.01259268,-0.087547859,-0.004376375,-0.059995604,-0.039995206,-0.015741699,-0.012016352
-0.007986436,0.010948017,-0.013245227,0.009007608,-0.042919003,0.004278997,-0.023035343
0.002803245,0.0428686,-0.017937701,-0.010545835,-0.050829918,0.003410063,0.006023337
0.025623378,-0.05002519,0.017937701,-0.032928923,0.015945561,-0.00383714,0.010241938
0.001912876,-0.005246636,-0.00445435,-0.061178572,-0.02836099,-0.00171009,-0.001416315
-0.021041471,0.006837386,-0.018018506,0.004918867,-0.00110153,0.000855347,0.019090979
0.004057025,0.065605353,0.018018506,0.03581662,0.001292973,-0.007294605,0.002777064
0.004491484,0.006135429,0.047939462,0.018391901,-0.008072286,-0.009954594,-0.01368166
0.001985911,0.043655178,0.004246291,-0.032385908,0.001590735,-0.007421994,0.141581557
-0.003312741,0.061344358,-0.030109801,-0.035303666,0.003270068,0.012628123,0.02909906
-0.000837063,0.087989597,-0.013187004,-0.006144535,-0.017581322,-0.006947487,0.002130935
0.001840591,0.105683446,0.00881063,0.032894007,0.031313479,0.024533143,0.025223243
-0.035609689,0.085556753,-0.013245227,0.015409921,0.018950776,-0.011545991,0.0043723
0.008988124,-0.079893765,0.013245227,0.098784073,0.023285169,0.027991649,0.017752014
0.003335484,-0.01285026,-0.013245227,-0.029611976,-0.01860308,0.014944238,0.001577821
